"","stage","cluster","bivalve","brachiopod","cookieLith","cookieBath","cookieReef","cookieAbsLat","cookiePalaeoLat","cookiePalaeoLng","stage_midpoint","PTME"
"2","4","4_1",1,10,0.217717717717718,0.277777777777778,0.333333333333333,1585560.22478165,-1585560.22478165,-8852292.39555028,510.5,"PrePTME"
"3","4","4_2",0,13,0.333333333333333,0.5,0,1885560.22478165,-1885560.22478165,-11818959.0622169,510.5,"PrePTME"
"4","5","5_1",0,8,0.920634920634921,0,0,1189439.77521835,1189439.77521835,9089374.27111639,505.5,"PrePTME"
"5","11","11_1",2,17,0.85,0.333333333333333,0,1335560.22478165,-1335560.22478165,8243540.93778305,481.975,"PrePTME"
"6","11","11_2",4,13,0.164983164983165,0.153846153846154,0,4252226.89144832,-4252226.89144832,-7285625.72888362,481.975,"PrePTME"
"7","12","12_1",0,11,0.888888888888889,0.944444444444444,0,1231106.44188501,1231106.44188501,-10902292.3955503,474.2,"PrePTME"
"8","12","12_2",0,22,0.34937971952535,0.166666666666667,0.302469135802469,5102226.89144832,-5102226.89144832,-3968959.06221695,474.2,"PrePTME"
"9","12","12_3",0,28,0.507575757575758,0.766666666666667,0.166666666666667,1202226.89144832,-1202226.89144832,8264374.27111638,474.2,"PrePTME"
"10","13","13_1",2,28,0.962765957446808,0,0.0680851063829788,1076939.77521835,1076939.77521835,-11056459.0622169,470.35,"PrePTME"
"11","13","13_2",0,27,0.892881241565452,0.125,0.125,4748060.22478165,-4748060.22478165,-4418959.06221695,470.35,"PrePTME"
"12","13","13_3",0,33,0.798331522485732,0.0833333333333333,0.334357509664763,4855560.22478165,-4855560.22478165,-4027292.39555028,470.35,"PrePTME"
"13","14","14_1",7,36,0,0.390682656826568,0,6010560.22478165,-6010560.22478165,-6375209.06221695,463.8,"PrePTME"
"14","14","14_2",10,6,0,1,0,7410560.22478165,-7410560.22478165,1506040.93778305,463.8,"PrePTME"
"15","14","14_3",1,22,0.666666666666667,0.5,0.333333333333333,3668893.55811499,-3668893.55811499,-5252292.39555028,463.8,"PrePTME"
